position,user,first_genre,genre_label,track_name,track_id,artist,duration_ms,gender,age,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode
0,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Subzero - Original Mix,7p6oXzBSPAXXz8Xb8gBPki,Ben Klock,383972,M,40,-1.8782075708007768,0.7638344771814373,1.1029062867105839,0.09679139256967624,1.9607727142336913,-0.5238236572258406,-0.32885554186497856,-0.08687718040889368,0.07896520473949128,-1.3650098427002697,6.0,0.0
1,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",175238,M,40,0.6960755780266689,-0.8452500246371165,-0.14177323932040037,1.439137449073261,-0.5152176002323192,1.5982179173826787,0.6872472803626475,-0.6119931178073769,0.18534150115673756,-0.5923710933214076,7.0,0.0
2,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,I Don't Wanna Wait,331l3xABO0HMr1Kkyh2LZq,"David Guetta, OneRepublic",149667,M,40,0.4386472631439242,-0.7525066876355063,0.5020265155232122,0.49535912923460607,-0.5152379317018508,0.5133934272370952,0.5668202792097438,-0.6660959719635843,0.2528200430518195,0.4461218493921171,1.0,0.0
3,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Love Tonight (David Guetta Remix Edit),2prnn41CblB8B4yWACDljP,"Shouse, David Guetta",158095,M,40,0.11686186954049352,-0.8144824845626292,0.1801266381014056,1.529379200770981,0.511400628808008,0.13877777596380012,0.6168281017223902,-0.4671884199187042,0.11430778814941511,-1.7106202940353308,10.0,0.0
4,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Wide Open - Len Faki DjEdit,477I4wif0etzeupmlQzTxl,"DJ Hyperactive, Len Faki",435571,M,40,-2.1999929644042076,-0.8555864857726153,1.6018510967143835,0.12687197646891626,2.0297904325872946,-0.5269454543197848,0.24942369142539542,0.1709070070412709,0.18447013568805087,-1.4597203990757432,7.0,1.0
5,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Wake Me Up,0nrRP2bk19rLc0orkWPQk2,Avicii,247426,M,40,0.7604326567473549,-0.8453326590330192,-0.29735818007427356,0.7548041653655512,-0.5117870457841706,-0.040725556937987045,0.42904362534837065,-0.32556624286274966,0.04731721091679799,0.8158253369981316,2.0,1.0
6,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,233712,M,40,0.9535038929094134,0.7445531181374434,1.2745862213355468,0.26223460401549636,-0.5152379317018508,-0.5706506136350024,0.7497570585034556,0.11839541330142239,-0.9322021397430573,2.0121692070041117,1.0,0.0
7,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Closer,7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey",244960,M,40,0.8247897354680411,0.28455498094501913,0.861481378644229,-0.21905473837234354,-0.5152379317018508,-0.43095019368100274,0.44154558097653224,-0.6199494198891721,-0.9659065560718507,0.8905968288735054,8.0,1.0
8,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Baby Don't Hurt Me,3BKD1PwArikchz2Zrlp1qi,"David Guetta, Anne-Marie, Coi Leray",140017,M,40,0.2455760269818658,-0.8523290378861257,0.07819167691783355,1.2323334347659862,-0.5147375532437872,-0.36070975906726,0.7215638728521931,-0.6676872323799432,0.1819954577569818,-0.9080729479063191,7.0,1.0
9,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,"Kygo, Selena Gomez",220780,M,40,0.18121894826117965,-0.5280165787661495,0.2820615992849777,-0.18521408148569854,-0.5152379317018508,-0.6229407149585665,0.31435731810635736,-0.0343655866690454,-0.7930973563219463,0.2841169503288071,0.0,1.0
10,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Lush Life,1rIKgCH4H52lrvDcz50hS8,Zara Larsson,200646,M,40,0.6960755780266689,-0.49220834054158946,0.5717714889646031,0.4878389832597961,-0.5152379317018508,0.34949907980502853,0.6553545364132556,-0.42581564909336916,-0.8608895897857554,1.463844933251371,7.0,0.0
11,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,The Nights,0ct6r3EGTcMLPtrXHDvVjc,Avicii,176658,M,40,0.6960755780266689,-0.810075316781145,-0.32418316985942414,0.9503279607106109,-0.5152379317018508,0.6460698037297204,0.47994444469160014,-0.4687796803350633,0.11364555039321368,0.8615190264775268,6.0,1.0
