position,user,first_genre,track_name,track_id,popularity,explicit,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,artist,duration_ms,gender,age
0,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Subzero - Original Mix,7p6oXzBSPAXXz8Xb8gBPki,45,False,0.588,0.793,0.608,0.861,6.0,0.0991,-11.638,0.0,0.0673,124.988,0.118,Ben Klock,383972,M,40
1,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,85,True,0.00383,0.561,0.965,7.07e-06,7.0,0.371,-3.673,0.0,0.0343,128.04,0.304,"David Guetta, Bebe Rexha",175238,M,40
2,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,I Don't Wanna Wait,331l3xABO0HMr1Kkyh2LZq,81,False,0.0375,0.681,0.714,0.0,1.0,0.232,-4.617,0.0,0.0309,129.976,0.554,"David Guetta, OneRepublic",149667,M,40
3,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Love Tonight (David Guetta Remix Edit),2prnn41CblB8B4yWACDljP,76,False,0.015,0.621,0.989,0.357,10.0,0.184,-4.225,0.0,0.0434,126.002,0.0348,"Shouse, David Guetta",158095,M,40
4,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Wide Open - Len Faki DjEdit,477I4wif0etzeupmlQzTxl,40,False,7.74e-05,0.886,0.616,0.885,7.0,0.0987,-7.105,1.0,0.0835,128.015,0.0952,"DJ Hyperactive, Len Faki",435571,M,40
5,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Wake Me Up,0nrRP2bk19rLc0orkWPQk2,86,False,0.0038,0.532,0.783,0.0012,2.0,0.161,-5.697,1.0,0.0523,124.08,0.643,Avicii,247426,M,40
6,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Shape of You,7qiZfU4dY1lWllzX7mPBI3,89,False,0.581,0.825,0.652,0.0,1.0,0.0931,-3.183,0.0,0.0802,95.977,0.931,Ed Sheeran,233712,M,40
7,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Closer,7BKLCZ1jbUBVqRi2FVlTVw,87,False,0.414,0.748,0.524,0.0,8.0,0.111,-5.599,1.0,0.0338,95.01,0.661,"The Chainsmokers, Halsey",244960,M,40
8,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Baby Don't Hurt Me,3BKD1PwArikchz2Zrlp1qi,78,False,0.00126,0.602,0.91,0.000174,7.0,0.12,-3.404,1.0,0.0308,127.944,0.228,"David Guetta, Anne-Marie, Coi Leray",140017,M,40
9,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,77,False,0.119,0.64,0.533,0.0,0.0,0.0864,-6.596,1.0,0.0706,99.968,0.515,"Kygo, Selena Gomez",220780,M,40
10,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Lush Life,1rIKgCH4H52lrvDcz50hS8,85,False,0.132,0.694,0.712,0.0,7.0,0.211,-3.923,0.0,0.046,98.023,0.799,Zara Larsson,200646,M,40
11,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,The Nights,0ct6r3EGTcMLPtrXHDvVjc,85,False,0.0166,0.527,0.835,0.0,6.0,0.249,-5.298,1.0,0.0433,125.983,0.654,Avicii,176658,M,40
12,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,88,False,0.0863,0.475,0.715,2.67e-05,8.0,0.135,-5.371,1.0,0.058,199.892,0.159,"DJ Snake, Justin Bieber",205946,M,40
13,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,82,False,0.0451,0.807,0.893,2.79e-05,11.0,0.366,-3.745,0.0,0.0347,126.011,0.537,Ed Sheeran,230746,M,40
14,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Memories (feat. Kid Cudi),7fLzbEOBOae9lUnOwr7Tse,82,False,0.0015,0.561,0.87,2.82e-06,8.0,0.246,-6.103,1.0,0.343,129.98,0.498,"David Guetta, Kid Cudi",210093,M,40
15,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Give Me Everything (feat. Nayer),4QNpBfC0zvjKqPJcyqBy9W,87,False,0.191,0.671,0.939,0.0,8.0,0.298,-3.206,1.0,0.161,129.024,0.53,"Pitbull, AFROJACK, Ne-Yo, Nayer",252306,M,40
16,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Unconditional Beauty,48CueGtLgYtdN5WUXeL94G,46,False,0.0241,0.781,0.555,0.903,5.0,0.178,-11.976,1.0,0.0473,125.01,0.0751,Luigi Madonna,391679,M,40
18,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Dance Monkey,2N8m6CYs74qQO4mjVcXO30,74,False,0.69,0.824,0.587,0.000105,6.0,0.149,-6.401,0.0,0.0937,98.029,0.514,Tones And I,209438,M,40
19,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,84,False,0.156,0.533,0.869,0.00538,11.0,0.136,-5.093,1.0,0.173,159.805,0.425,"The Chainsmokers, Daya",208373,M,40
20,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Titanium (feat. Sia),0TDLuuLlV54CkRRUOahJb4,83,False,0.0679,0.604,0.787,0.15,0.0,0.127,-3.674,0.0,0.103,126.062,0.301,"David Guetta, Sia",245040,M,40
